body,title
"
En un hecho inédito, los mandos del Ejército y de la Marina participan en una audiencia pública ante el Congreso de la Unión sobre la situación de inseguridad que afecta al país, concretamente para abordar el tema de la Guardia Nacional.
Los titulares de las secretarías de la Defensa Nacional, Luis Crescencio Sandoval, y de la Marina Armada, José Rafael Ojeda Durán, se reúnen este viernes con senadores y diputados, en compañía del titular de la Secretaría de Seguridad, Alfonso Durazo y del encargado del despacho de la PGR, Alejandro Gertz Manero.
El coordinador de la bancada del partido Morena en la Cámara de Diputados, Mario Delgado Carrillo destacó el hecho y dijo que el gobierno federal es sensible.
En su intervención, el titular de la Sedena, el general Luis Crescencio Sandoval afirmó que la Constitución reconoce el poder civil de la Guardia Nacional.
“La responsabilidad del empleo de la Guardia Nacional será completamente civil”, indicó.
cg
",Secretarios de Marina y Sedena acuden a audiencia sobre Guardia Nacional
"

Getty Images
 
En el ámbito deportivo son más naturales las muestras públicas de orgullo.

El orgullo es la perdición de muchos héroes clásicos.

Fritzwilliam Darcy, uno de los dos personajes principales de la novela de Jane Austen ""Orgullo y prejuicio"", tiene que dejar ir el suyo para poder ganarse el amor de Elizabeth Bennet.

Dante lo incluyó como uno de los siete pecados capitales. Y, como el famoso verso de los Proverbios (a menudo mal citado) nos avisa: ""Delante de la destrucción va el orgullo, y delante de la caída, la altivez de espíritu"".

No hay duda sobre esto: constantemente se nos dice que el orgullo cuanto menos nos hace antipáticos y, yendo más lejos, nos puede destruir.

Pero es posible que el orgullo no se merezca completamente la reputación de fuerza destructiva. Hay nuevas pruebas de que esta emoción tiene una función evolutiva y que juega un papel importante en cómo nos relacionamos con el mundo.

Getty Images
 
Personas de todo el mundo adoptan esta postura cuando se sienten orgullosos después de un triunfo.

Una emoción global

Las muestras de orgullo ocurren en todas las culturas y edades, incluso en los más pequeños. El orgullo viene además con su propia pose, ampliamente reconocible: una postura erguida, brazos extendidos y la cabeza alta.

En sus investigaciones, Jessica Tracy, profesora de Psicología en la Universidad de Columbia Británica (Canadá) y autora del libro ""Orgullo: el secreto del éxito"", constató que esta postura la adoptan incluso personas que son ciegas de nacimiento.

Esto sugiere que el orgullo es parte de nuestra construcción evolutiva más que algo aprendido socialmente.

Los beneficios del orgullo

Según un nuevo estudio, cuando esperamos sentir orgullo por algo, es porque el orgullo evolucionó para ofrecernos -a nosotros y a la gente de nuestro alrededor- beneficios sociales.

Getty Images
 
El orgullo es una forma de promocionar que tienes un talento que merece la pena.

Leda Cosmides, profesora de Psicología Evolutiva en la Universidad de California en Santa Bárbara (Estados Unidos), explica que en las sociedades cazadoras-recolectoras de los primeros humanos era esencial convencer a los demás de que tu bienestar era importante.

El trabajo que Cosmides desarrolló con otros investigadores sugiere que el orgullo que sentimos cuando abordamos una tarea difícil o fomentamos una cualidad particular es un poderoso motivador evolutivo.

""Si vas a invertir tiempo en cultivar un talento específico, será mejor que desarrolles talentos o habilidades que otras personas valoren"", señala.

Y una forma de demostrar que tienes un talento que merece la pena es mostrar tu propio orgullo de tenerlo.

Una exhibición de orgullo ""promociona tus éxitos"", apunta Daniel Sznycer, profesor de Psicología en la Universidad de Montreal (Canadá) y principal autor del estudio. ""Si no, no sabré cuáles son tus éxitos y no sabré cuánto debo valorarte"".

Valoración de los demás

Para un estudio anterior publicado en 2017, Sznycer, Cosmides y sus colegas de investigación realizaron experimentos en 16 países, desde Estados Unidos a Japón.

En cada país, un grupo de participantes recibió la descripción de una persona con atributos deseables, como una cierta educación o una apariencia juvenil, y a continuación se les preguntó cómo calificarían a esa persona. A otro grupo se le preguntó cuánto orgullo sentirían si tuvieran esos atributos.

El estudio concluyó que el orgullo que la gente dijo que sentiría al tener ciertos atributos era semejante a la admiración que el otro grupo tenía por los mismos rasgos.

Getty Images
 
Si creemos que un logro nos hará sentir orgullosos es porque otras personas lo admiran.

En otras palabras, si creemos que vamos a estar orgullosos de algo es porque pensamos que eso nos hará quedar bien ante los demás: la cantidad de orgullo que sentimos por un logro determinado está en sintonía con el valor que otras personas le dan a ese logro.

""Así, mandamos señales a nuestro sistema de toma de decisiones, que calcula cuáles serán los beneficios sociales de una determinada acción"", indica Cosmides.

Sociedades menos industrializadas

Había un problema con la investigación: los participantes eran todos miembros de sociedades industrializadas con una exposición constante a los medios. Esto significaba que era imposible saber si este orgullo era un rasgo evolutivo fundamentalmente humano o algo que era aprendido por los miembros de una cultura global.

Para averiguarlo, los investigadores llevaron a cabo un segundo estudio, publicado en 2018. Entrevistaron a 567 personas de diez pequeñas sociedades indígenas de Centroamérica, Sudamérica, África y Asia.

Al igual que en el estudio anterior, le preguntaron a un grupo de personas cómo calificarían a alguien con determinadas cualidades mientras que el otro grupo evaluó cuán orgullosos se sentirían si ellos mismos tuvieran esas cualidades.

Los resultados fueron claros: el orgullo que las personas pensaron que sentirían si fueran fuertes, buenos contadores de historias o capaces de defenderse a sí mismos, encajaba de cerca con la admiración que esas cualidades despertaban.

Si bien es imposible estar seguros, los resultados sugieren fuertemente que la relación entre orgullo y valor social evolucionó como ""parte de la naturaleza humana"", explica Sznycer.

""Ya sabíamos que el orgullo te ayuda a subir a lo más alto, pero no cómo lo hace"", expone Joey Cheng, profesor de Psicología en la Universidad de Illinois Urbana-Champaign (Estados Unidos) que no participó en el estudio.

Diferencia con la soberbia

Si el orgullo es una parte así de vital para nuestra interacción con el mundo que nos rodea, ¿por qué se percibe de forma tan negativa?

De acuerdo a Cosmides y Sznycer, el problema llega cuando nuestro orgullo es más grande que el verdadero valor social de nuestros logros.

Esto puede generar resentimiento, no admiración. ""El orgullo debe estar muy bien equilibrado respecto a cuán positivamente te va a ver la gente"", expone Cosmides.

Jessica Tracy dice que el truco está en saber distinguir entre el orgullo soberbio que se asocia con agresividad, baja autoestima y el tener pocos amigos, y lo que ella define como ""orgullo auténtico"", que es el que sentimos cuando conseguimos nuestros objetivos y nos sentimos seguros de nuestro valor personal.

Getty Images
 
El problema se produce cuando la cantidad de orgullo es más grande que el verdadero valor social de lo que se consiguió.

""Mucha gente solo piensa en el 'orgullo malo'… ese orgullo en realidad es arrogancia, ser engreído, tener obsesión con uno mismo"", precisa.

Pero las personas que sienten un orgullo auténtico por sus éxitos lo cierto es que se mueven muy bien por el mundo, tienen ""relaciones sociales estupendas, tienden a tener una alta autoestima, están conectadas de cerca con sus parejas, tienen perfiles de personalidad ideales"", añade.

Cheng y Tracy han observado esto en sus estudios sobre el orgullo en atletas.

""Aquellos que estaban más orgullosos, seguros, exitosos y se sentían realizados… terminaron por ser las personas mejor consideradas y más respetadas en la comunidad"", afirma Cheng.

Pero eso solo era cierto si sus sentimientos se basaban en logros genuinos, no en narcisismo o en un orgullo soberbio.

La clave, según Tracy, es centrarse en alcanzar y conseguir ciertos objetivos o cualidades, en lugar de intentar conseguir el reconocimiento en sí mismo.

El narcisismo puede que no sea óptimo, pero ¿una dosis de orgullo sano y bien fundamentado? Adelante, acéptalo.

Hay una razón por la que estás programado para sentirlo.

Puedes leer el original en inglés en BBC Future

Recuerda que puedes recibir notificaciones de BBC News Mundo. Descarga la última versión de nuestra app y actívalas para no perderte nuestro mejor contenido.
",Por qué no es bueno ser demasiado modesto
"
La segunda jornada del Clausura 2019 de la Liga MX está en curso y aquí te dejamos los horarios, canales y algunos datos para que no te pierdas ningún partido.
Monterrey acumula siete victorias seguidas como local en Liga MX, incluido el 5-0 ante Pachuca en la primera jornada en el Clausura 2019.
Rogelio Funes Mori ha anotado siete goles en siete partidos ante León en Liga MX.
Monterrey vs León: Sábado a las 17:00 / Fox Sports 2
Cruz Azul mantiene un invicto de cuatro partidos ante Guadalajara en Liga MX, con tres victorias y un empate; algo que no lograba desde 1986 ante las Chivas.
Guadalajara acumula un invicto de ocho partidos como visitante en Liga MX (4V 4E), su mayor racha desde enero de 2011 (1V 7E).
Cruz Azul vs Guadalajara Sábado a las 19:00 / Canal 2 y TDN
Querétaro mantuvo la valla invicta en sus últimos cuatro duelos ante Pachuca en LigaMX, con tres victorias y un empate.
Pachuca vs Querétaro Sábado a las 19:06/ Fox Sports 2
 



Artículo


Club de Cuervos trollea al Pachuca

Universal Deportes


Los Tuzos quisieron responder a la ""Peste Negra"", pero el resultado no fue el deseado 








Pumas mantiene un invicto de nueve partidos ante Necaxa en Liga MX (6V 3E), su última derrota fue en febrero de 2008 (0-3).
Necaxa vs Pumas Sábado a las 21:00/ Canal 9 y TDN
Tigres iniciará jugando dos partidos como visitante por primera vez desde el Invierno 1997, en esa ocasión perdió en el debut (0-2 vs Atlante) y ganó el segundo juego (3-1 vs Toluca).
Tijuana vs Tigres Sábado a las 21:00/ Fox Sports 2
Toluca logró solo un punto en sus últimos dos partidos de local en Liga MX, algo que no le ocurría desde mayo de 2017.
Toluca vs Puebla Domingo a las 12:00/ TDN
 



Artículo


Toluca suma a Federico Mancuello para el Clausura 2019

Universal Deportes


El jugador de 29 años rechazó propuestas del futbol argentino y al América 








Julio Furch participó en los dos goles de Santos Laguna ante Morelia durante 2018 en Liga MX; asistió a Djaniny en el Clausura y luego anotó en el Apertura.
Santos vs Morelia Domingo a las 18:00/ Canal 7 y ESPN 2
",¿Cuándo y dónde ver los partidos de la Jornada 2?
"Hace un año, la conductora Karina Velasco visitó las pirámides de Teotihuacán, donde tomó algunas imágenes que subió a su cuenta de Instagram.
Ese día, la hija de Raúl Velasco escribió ""ir a un lugar sagrado y que tiene las raíces de nuestra cultura nos hace recordar el amor a nuestro país y pensar en todo lo que podemos hacer para ayudar a nuestra gente"".
En otras de las imágenes posteó ""que mágico es venir a #teotihuacán, siempre me sorprende lo que sucede y su energía"".
Te dejamos a las imágenes de ese momento.
VER: Las pinturas desconocidas de Teotihuacán
",Las bellas fotos de Karina Velasco en Teotihuacán
"

Ayer estuve en la Cámara de Diputados. Fui invitado por la Junta de Coordinación Política a participar en una serie de foros públicos sobre la Guardia Nacional. Estas son mis impresiones:

1. En la sesión que me tocó, participamos diez panelistas. No hubo uno solo que defendiera el proyecto. Es más, ninguno le encontró virtudes a la idea. No sé si esa alineación haya sido una maniobra deliberada de la mayoría morenista, una suerte de vacuna ante posibles cuestionamientos de no haber escuchado voces críticas. Eso, o de plano no pudieron dar con alguien medianamente conocido en el sector y dispuesto a arriesgar su prestigio en una defensa pública de la Guardia Nacional.

2. En términos muy esquemáticos, las críticas de los académicos y activistas tuvieron dos ejes centrales. Uno es metodológico: se está tomando una decisión fundamental para el futuro del país sin mayor evidencia. Otro es sustantivo: la creación de la Guardia Nacional implica una alteración de fondo del régimen constitucional al modificar el equilibrio entre civiles y militares a favor de estos últimos. Comparto ambas críticas.

3. La coalición gobernante no está cohesionada en torno al proyecto clave del gobierno de Andrés Manuel López Obrador en materia de seguridad. Varios legisladores de Morena, empezando con Tatiana Clouthier, manifestaron sus dudas ante el dictamen. Al parecer, el asunto más contencioso es la determinación de ubicar “transitoriamente” a la Guardia Nacional en la Secretaría de la Defensa Nacional (Sedena). Algunas de las defensas más vehementes a la propuesta provinieron más del PT y el PES que de Morena.

4. Al parecer, nadie en el gobierno o en el grupo mayoritario del Congreso se ha tomado la molestia de armar algunas líneas argumentativas a favor de la Guardia Nacional. Ningún diputado o senador de Morena, el PT o el PES pudo articular una explicación medianamente coherente de las razones para empujar un proyecto de esta naturaleza. Básicamente, su defensa tenía dos partes: 1) hay que hacer algo, esto es algo, hay que hacer esto, y 2) confiamos en López Obrador y podemos por tanto obviar los riesgos de entregar la seguridad pública a los militares.

5. La oposición tampoco parece tener muy clara su estrategia. Algunos legisladores (sobre todo panistas) parecen tener como meta derrotar por completo el dictamen y reenviar la discusión a comisiones. Otros parecerían conformes con la posibilidad de negociar algunos cambios al texto propuesto, aún si mantiene el proyecto a grandes rasgos.

6. Algunos legisladores tienen creencias extrañas. Un diputado afirmó, acudiendo a Dios sabe qué fuentes, que Acapulco se había pacificado en las últimas semanas, que las ejecuciones se habían ido a cero y que eso debería servir de modelo para el resto del país. Como dato, ocho personas fueron asesinadas en esa ciudad el domingo pasado. Otro diputado señaló que los militares solo obedecen órdenes de los civiles y que López Obrador nunca les daría la orden de reprimir al pueblo. Entonces no hay nada que temer.

7. ¿Es posible que la Guardia Nacional no sea aprobada por el Congreso? No lo sé. Hablé con algunos legisladores de oposición a la salida y no se mostraron optimistas. Me dijeron que, con toda probabilidad, los operadores de Morena ya tienen (casi) amarrados suficientes votos para lograr la aprobación en la Cámara de Diputados. En todo caso, según esas versiones, sería posible parar el proyecto en el Senado, pero eso va a depender en buena medida de la posición que asuma el PRI.

8. A todo esto, ¿qué dije en el foro? Muchas cosas que ya he venido diciendo en estas páginas. Pueden leer mi intervención aquí: https://bit.ly/2RFldCh.

Nos leemos el lunes.
 

[email protected].
@ahope71
",Una mañana en el Congreso
"
El equipo mejor sembrado de la Conferencia Americana Kansas City, inaugurará la ronda divisional de la NFL cuando reciba el sábado a Indianapolis en el Arrowhead Stadium a las 15:35 horas. Chiefs y Colts serán transmitidos por ESPN y Azteca 7. 
Con 50 pases de anotación, 12 intercepciones y cinco mil 97 yardas en temporada regular, Patrick McHomes guiará a Kansas City a una final de Conferencia por primera ocasión en 26 años. Tambien, los Chiefs esperan contar con el receptor Sammy Watkins y el profundo  Eric Berry, quienes se han ausentado de los emparrillados por lesión. 
Por su parte, el quarterback Andrew Luck y compañía, alcanzaron la instancia previa al Super Bowl hace cinco temporadas. En aquel partido, fueron apaleados 45-7 por los Patriots.
 



Artículo


El negocio que limpia los uniformes de Filadelfia 

Universal Deportes


Durante casi una década, la lavandería South Philly se ha hecho responsable de la ropa de los actuales campeones de la NFL 








Al terminar el duelo en el estadio de Misuri, no se muevan del televisor, ya que Rams y Cowboys se enfrentarán por novena ocasión en los Playoffs, siendo 1986 su choque más reciente en postemporada, cuando los Rams también jugaban en Los Ángeles.
Erick Dickerson corrió para 248 yardas y dos touchdowns en la victoria de los angelinos 20-0 sobre los de la estrella solitaria en la ronda divisional. 
El partido de ronda divisional de la Conferencia Nacional será a las 19:15 horas, por Fox Sports y Canal 5.
Las emociones se reanudarán el domingo a las 12:05 horas de la Ciudad de México. Philip Rivers y compañía, quienes perdieron solo una ocasión en la temporada como visitantes (Semana 3, vs Rams), se medirán en el Gillette Stadium ante los Patriots, único equipo invicto como local en 2018. El partido será transmitido por ESPN y Azteca 7.
 

¡ARMEN PLAN!
Estos son los días y televisoras para ver la Ronda Divisional de los #NFLPlayoffs
¿Con quién verán los juegos de este fin? #NFLMX pic.twitter.com/I7LS87vGRh
 — NFL México (@nflmx) 9 de enero de 2019

En la última función del fin de semana, los campeones del Super Bowl 52 los Eagles, siguen su camino a refrendar el trofeo Vince Lombardi. Después de clasificar a los Playoffs en la Semana 17, y de eliminar en la ronda de comodines a los Bears, Filadelfia tiene una prueba que luce imposible cuando visiten el Mercedes-Benz Superdome, casa de los Saints, semabrado uno de la NFC.
En la Semana 10, Nueva Orleans aplastó 48-7 a Filadelfia, lo que significó la peor derrota en la historia para un campeón defensor. Pero ahora los dirigidos por el coach Doug Pederson son un equipo diferente, pues ganaron cinco de seis partidos después de esa derrota.
Invita a familiares y amigos, preparen la carne asada y las bebidas, porque la cita es a las 15:40 por Fox Sports y Canal 5.
",¿Dónde y cuándo ver los juegos de la Ronda Divisional de la NFL?
"
[email protected]

En casas, bodegas, centrales de abasto, comercios, así como en las orillas de carreteras se vende huachicol, que se transporta en pipas o en contenedores que llevan en camionetas o camiones tras extraer el combustible ilegalmente, de acuerdo con especialistas y datos del gobierno federal.
 Según las estimaciones del presidente Andrés Manuel López Obrador, se estaban desviando de Petróleos Mexicanos (Pemex) 10 millones de dólares diarios con las perforaciones clandestinas a las tuberías.

Foto: Archivo/EL UNIVERSAL 
 El presidente Andrés Manuel López Obrador, insistió hoy sobre su estrategia para evitar el robo de combustible.
 Se quiere, dijo, “terminar con el huachicoleo por el daño que ha causado a la sociedad y a la nación. No hay que dejar de tener en cuenta que se robaron el año pasado más de 60 mil millones de pesos, que crearon a través de los años, por la impunidad, un sistema de distribución de gasolina, de diesel paralelo al sistema de distribución de Pemex. 
 “Crearon como otra empresa, una economía informal manejada cuando menos con la complacencia, tolerancia de las autoridades. Y esto se está combatiendo porque no se puede permitir la corrupción, se acabó la corrupción e impunidad. Se están utilizando elementos de la Policía Federal, de la Policía Militar y Policía Naval para resguardar los ductos”, subrayó.

Foto: Berenice Fregoso
 De acuerdo con el gobierno federal, el modelo de operación del robo de hidrocarburos “era un asunto que se manejaba desde adentro y afuera”, puesto que “tenía que haber una complicidad en el interior que permitiera que en el ducto siguiera fluyendo el combustible para podérselo robar”.
 EL UNIVERSAL ha publicado respecto a la comercialización ilegal, que en Puebla, en un recorrido que se hizo en julio de 2017, se observó bajo el puente sobre la carretera 150 que va de la capital de ese estado a Tehuacán, la ley es la del huachicolero, puesto que el negocio de la venta de combustible, sustraído de las tomas clandestinas en el llamado Triángulo Rojo, se ha dado al interior de la Central de Abasto y en sus inmediaciones.
 Camionetas de reciente modelo con su cajuela abierta, pick up y hasta un camión de carga se encuentran ahí a la espera de compradores del producto ilícito, ese por el que ya se pelean organizaciones criminales.
 Entre los olores de las frutas y verduras intentaban esconder el de la gasolina que traían en sus bidones. 
 Ese punto fue señalado por autoridades locales como uno de los principales centros de venta clandestina. Ahí pasan los que llevan mercancía para Veracruz, Oaxaca, Tabasco, Chiapas.
 En tanto, los llamados chupaductos han mejorado su actividad ilegal, puesto que antes tardaban horas para colocar la toma en un tubo, ahora en menos de 40 minutos lo hacen. Más aún, en siete minutos tienen cargada una pipa, por eso durante los operativos deben actuar a la brevedad.
 Los huachicoleros taladran el ducto, despacio, para no provocar un incendio, que ya han sucedido.
 Por eso llevan agua para que no se caliente y explote el tubo al momento de perforarlo. Luego lo sellan y colocan la válvula y tienen hidrocarburo a presión.
 En junio de 2017, la entonces Comisión Nacional de Seguridad (CNS), por medio de la dirección de química y toxicología forense de la División Científica de la Policía Federal, realizar en análisis con equipo de tecnología de punta de muestras de huachicol obtenidas por EL UNIVERSAL, de lo que se concluyó que  ninguna cumplió con los estándares de una gasolina Magna o Premium.
 Se comprobó que para obtener mayores ganancias las organizaciones dedicadas al robo de hidrocarburos rebajan la gasolina con diesel, grasas u otro tipo de aceites, lo que causa severas afectaciones de los motores de los vehículos.
 Desde obstrucción en el sistema de bombeo de gasolina, fallas en el sistema de encendido de motor, en el sistema de inyección, en válvulas, formación de depósitos en las cámaras de combustión y de aceite, así como daños en anillos y pistones, son algunos daños que causa el uso del huachicol.
 Foto: Archivo/EL UNIVERSAL 
 Rodrigo Soto, especialista en seguridad y académico de la Universidad Panamericana, señaló que el aumento exponencial de ""incidentes"" tanto dentro de la paraestatal como en los ductos se remonta a más de una década.
 “Es el típico fenómeno de bola de nieve que se volvió imparable y de dimensión macro. Ahora estamos en esa situación que dice el dicho: ""ahogado el niño, tapado el pozo"". Se tenía que pagar un precio tarde o temprano, y hemos empezado ya a pagarlo todos”.
 Señaló que al entrecruzarse el crimen organizado con la generación de fugas, distribución y venta ilegales, se empezó a dar la toma de plazas y se volvió imposible perseguir a cada uno a uno a los autores.
 “La red se extendió, se hizo compleja al crearse una cadena de suministro paralela, y los empresarios y dueños de estaciones de combustible para poder crecer económicamente, terminaron acudiendo a ella. Los hilos están tan enredados que se comprende que se haya optado por una estrategia sistémica, en lugar de una ""cacería de ratones”.

Foto: Archivo/EL UNIVERSAL 
 Javier Oliva, académico de la Facultad de Ciencias Políticas y Social de la UNAM, y especialista en temas de seguridad nacional, consideró que hay una clara evidencia de las organizaciones de robo de combustible con personal de Pemex, puesto que “para que los criminales sepan cuando va a bajar la presión de los ductos se necesita información interna,
además, de cierto grado de tecnología, aunque sea rudimentario. Es algo muy evidente esta complicidad.
 “Pero también este problema tiene que ver con el abastecimiento de combustible que se le da a las bandas de delincuentes, porque ni modo que éstos lleguen a una gasolinera y digan: “Despáchenme 500 pesos de gasolina con sus armas y pertrechos militares"".
 Ante la estrategia del gobierno federal contra el robo de combustible que ha ocasionado la escasez del combustible en varias partes del país, Rodrigo Soto apuntó que los resultados de esta medida dependerá de ""terminar bien"" o ""acabar bien las cosas"", es decir, “no sólo hay que evitar el ilícito, sino también detener y vincular a proceso a las cabezas de alto nivel y a los mandos intermedios; irrumpir en su flujo financiero y romper toda la cadena de suministro ilegal en su origen, en sus procesos y en el expendio final. Dada la magnitud del problema, eso llevará mucho tiempo, y dice bien el Presidente: ""Es una carrera de fondo, no de velocidad"".
 Javier Oliva reconoció que la decisión del gobierno federal de terminar con este delito, aunque reclamó que era una situación que pudo haberse combatido desde hace tiempo, “usando drones, cámaras de video vigilancia, pero fue hasta ahora que el presidente López Obrador decidió llevar a la práctica acabar con este delito”.
",¿Cómo opera el huachicol dentro y fuera de Pemex?
"Mario Moreno, Cantinflas, falleció a los 81 años en su domicilio de la Ciudad de México y rodeado de sus familiares, a consecuencia de un cáncer de pulmón, informó en ese entonces el diario El País.
La enfermedad, que le obligó a pasar sus últimos días en cama, le fue detectada mes y medio antes de su deceso en la ciudad de Houston, Texas. Sin embargo, su estado de salud se había mantenido reservado por petición del propio actor.
El cáncer de pulmón que ocasionó la muerte del comediante más popular del cine mexicano es un crecimiento desordenado y descontrolado de células cancerígenas, que no presenta síntomas sino hasta que la enfermedad está localmente avanzada.
Cuando esto ocurre, algunos de los síntomas que pueden presentarse son tos persistente y con sangre, pérdida de peso involuntaria, dolor en el pecho y dificultad para respirar, señala el oncólogo Omar Macedo.
Agrega que en México la mayoría de los casos de cáncer de pulmón, el cual puede tardar hasta dos meses y medio en ser diagnosticado, tienen como antecedente principal el tabaquismo y la exposición crónica al humo de leña.
En una etapa temprana, cuando el tumor es operable, el 70% de las personas están curadas en cinco años. Sin embargo, cuando las personas no son candidatas a inmunoterapia o terapia blanca el pronóstico se reduce a aproximadamente 18 meses.
Ante situación, el especialista exhorta a realizarse revisiones de manera regular especialmente a personas con tabaquismo intenso o hayan fumado durante más de 10 años, y tienen tos persistente.
Finalmente, el médico oncólogo dice que el cáncer de pulmón representa la neoplasia más común y mortal en todo el mundo, pues los decesos que la enfermedad causa por sí sola son superiores a las muertes producidas por cáncer de mama, colon, páncreas y próstata.
Cantinflas destacó por su participación en las películas El barrrendero, El padrecito, Ahí está el detalle, El bolero de Raquel y La vuelta al mundo en 80 días.
",
"
México.- Los más recientes acontecimientos en la distribución de gasolinas en el país como consecuencia del combate al huachicoleo afectará a la economía y la inflación, advirtió el Banco de México (Banxico).
“Estas afectaciones en el suministro y qué tan sostenido es ésta afectación, puede tener un reflejo tanto por el lado en la actividad económica como por el lado de la inflación”, alertó el gobernador del instituto central, Alejandro Díaz de León.
Durante su participación en el seminario de perspectivas económicas 2019 organizado por la asociación de ex alumnos del ITAM, estableció que el impacto dependerá de la respuesta para enfrentar esta problemática.
“Va a depender de qué tan rápido puede normalizarse la situación”, señaló.
Hizo ver que claramente habrá un traslado de dicho efecto hacia los bienes y productos.
Explicó que por eso se van a resentir los impactos de los problemas del suministro de combustibles.
Sin embargo no dio un porcentaje de cuánto afectará al índice general de la inflación, ya que será en función del tiempo que tome normalizarla, por lo que confió en que sea lo más pronto posible.
vcr
",Desabasto de gasolina afectará a inflación y economía: Banxico
" 0 % PULSO SOCIAL0 Una ruptura amorosa es un trago amargo por el que todos hemos pasado al menos una vez. Sabemos que no es sencillo, pero a veces es mejor aceptar que la relación no tiene futuro y dejar las cosas ahí.
Sin embargo, hay maneras de hacer las cosas, y si vas a terminar una relación de pareja, pues al menos trata de no hacer sufrir a la otra persona, que ya bastante tiene con el “truene”. Eso de llamarle por teléfono o enviarle un mensaje para decirle que ya no quieres estar con él o ella, de verdad no es nada agradable.
Aunque pensaríamos que este tipo de situaciones solamente le ocurren a nosotros, simples mortales, en realidad le pasa a todos, hasta a los famosos, quienes han tenido que soportar la vergüenza de que su pareja los terminara con un mensaje, o ¡en televisión!
Te puede interesar: 10 mandamientos para que tu relación sobreviva a Facebook
En De10.mx preparamos una galería en la que colocamos a las parejas que no encontraron una peor manera de terminar con su noviazgo o matrimonio… ¡mírala en la parte de arriba!
Con información de Europa Press, People, Los 40 e Infobae
",
" 0 % PULSO SOCIAL0 Para los amantes de Harry Potter, la saga literaria siempre tendrá un lugar muy especial en nuestros corazones. Cuando llegaste a la página final de la historia, luego de ocho libros sobre las aventuras de los hechiceros en Hogwarts, seguro sentiste un vacío y quizá incluso deseaste que la “magia” hubiera durado un poco más.
Pero dicen que siempre hay que tener cuidado con lo que pedimos y en este caso, parece lo correcto. J.K. Rowling, la autora de Harry Potter, adoptó la costumbre de revelar detalles adicionales sobre la trama a través de Twitter o de la plataforma Pottermore.
Te puede interesar: Las difíciles condiciones en las que nació Harry Potter
Parece que la escritora siente que aún hay más por contar, a pesar de ya haber publicado la secuela Harry Potter y el legado maldito y tres libros “complementarios” situados en el mismo universo fantástico.
Algunos fans se emocionan con cada nuevo detalle que J.K. Rowling da sobre sus personajes favoritos, pero otros creen que las revelaciones de la escritora crean huecos en la trama y contradicciones.
David Sims, periodista de The Atlantic señaló: “Cuanto más Rowling realza y embellece su universo de Harry Potter, menos espacio deja para que los lectores llenen los huecos con su propia imaginación”
Un día como hoy, en 2007, J.K. Rowling terminó de escribir el último libro de la saga original. No sabemos cuál vaya a ser su próxima revelación polémica sobre la vida en el mundo mágico, pero mientras lo descubrimos aquí te presentamos 10 tuits con los que J.K. Rowling hizo enojar a los fans de Harry Potter:
1. La controversia de Nagini
En 2018 llegó al cine Animales fantásticos: los crímenes de Grindelwald, donde finalmente conocimos la historia de fondo de Nagini. Todo empezó porque se escogió para este papel a la actriz surcoreana Claudia Kim, a pesar de que el nombre de Nagini se deriva de la mitología de la India.
",
"El titular de la Secretaría de Desarrollo Económico de San Luis Potosí (SEDECO), Gustavo Puente Orozco, desconoció el proyecto de habilitar un tren turístico en la zona Huasteca de San Luis Potosí.
Pese a que los impulsores del proyecto han asegurado que las dependencias estatales como la Secretaría de Turismo y la misma SEDECO estarían interviniendo para presentar el proyecto a la concesionaria de la vía Kansas City Southern, el funcionario estatal aseguró que a la fecha no se ha presentado esta iniciativa, así como no ha existido ningún acercamiento para presentar bajo qué condiciones operaría la ruta y los municipios por los que pasaría este tren.
“No tenemos conocimiento, tendríamos que ver de qué se trata, pero no nos hemos metido ni nos han invitado; desconocemos la postura de Kansas porque no se ha tocado el tema, tenemos muy buena relación con la empresa y cuando lo pidan con gusto lo estaremos haciendo”.



Artículo


En análisis proyecto de tren turístico en SLP


Cartera


Para la operación del ferrocarril desde San Luis Potosí hasta Tampico requeriría una inversión de al menos 100 millones de pesos. 







Puente Orozco destacó que la administración estatal está con la mejor disposición para impulsar cualquier proyecto de infraestructura que sea viable, sin embargo, recalcó que ésta iniciativa debe presentarse de forma seria y bajo los análisis correspondientes para evaluar si es un proyecto factible o no.
Cabe recordar que este proyecto es impulsado por empresarios de la Huasteca potosina que plantean habilitar la ruta San Luis -Tampico y presuntamente existe ya un inversionista interesado en aportar al menos 150 millones de pesos de los 250 que se estiman se requieren en total.
[email protected]
vkc
",Desconoce SEDECO proyecto de tren turístico en SLP
